grp,pp,S,IDL,IDR,peakVelL,peakVelR,MTL,MTR,accTimeL,accTimeR,decTimeL,decTimeR,accQL,accQR,IPerfL,IPerfR,IPerfEfL,IPerfEfR,HarmonicityL,HarmonicityR,fL,fR,vfTrajCircularityL,vfTrajCircularityR,vfCircularityL,vfCircularityR,q1L,q1R,q2L,q2R,q3L,q3R,q4L,q4R,maxangleL,maxangleR,MI,rho,flsPC,flsAmp,phDiffMean,phDiffStd,d4D,d3D,d2D,d1D,minPeakDelay,minPeakDelayNorm
1,2,1,1,1,0.77573,0.7424,0.6855,0.673,0.249,0.2535,0.4295,0.4315,0.38176,0.37272,3.7921,3.8625,4.783,-0.51267,0.14797,0.17175,0.73982,0.73982,0.7398,0.73497,0.25126,0.23347,0.88858,0.84724,0.71994,0.68294,0.76013,0.77922,0.68412,0.67204,1.5708,1.4811,0.81663,1,0.99957,0.96066,-0.10726,0.0075781,1.094,0.62262,0.85359,-0.10309,0.023,0.067104
1,2,1,1,1,0.85329,0.8477,0.5795,0.592,0.2595,0.2505,0.3145,0.3205,0.45491,0.44528,4.4859,4.391,4.8216,-0.5039,1,1,0.80218,0.80218,0.81322,0.84523,0.18807,0.18364,0.92103,0.89848,0.78071,0.82262,0.74884,0.81976,0.81626,0.80328,1.0481,1.1021,0.7824,1,0.98897,0.93855,-0.10063,0.010745,1.1684,0.82917,0.81046,-0.1031,0.013,0.044866
1,2,1,1,1,0.82525,0.8641,0.565,0.57,0.255,0.247,0.308,0.328,0.45028,0.42157,4.6008,4.5605,5.1748,-1.0051,1,0.36964,0.87193,0.87193,0.79832,0.84361,0.17186,0.15283,0.84543,0.93101,0.74005,0.82974,0.76187,0.8011,0.79105,0.80204,1.3797,1.3214,0.76503,1,0.97064,0.93144,-0.086726,0.011921,1.1481,0.7283,0.8224,-0.084845,0.013,0.046018
1,2,1,1,2,0.78309,0.80415,1.0775,1.0945,0.2775,0.306,0.782,0.774,0.24594,0.28605,2.4125,3.6547,3.5212,0.45117,0.02976,0.047444,0.45711,0.45711,0.62113,0.66449,0.40756,0.39925,0.86891,0.89875,0.58756,0.62644,0.82338,0.85439,0.57449,0.59766,3.1416,1.5708,0.78303,1,0.99177,0.69223,-0.063071,0.0079775,1.1045,0.32181,0.97113,-0.053773,0.026,0.04826
1,2,1,1,2,0.63705,0.73344,0.998,0.996,0.2895,0.2955,0.7215,0.697,0.29137,0.30171,2.6048,4.0161,3.527,0.52025,0.066677,0.052846,0.45573,0.45573,0.63303,0.65441,0.33153,0.36517,0.79671,0.88082,0.53105,0.61039,0.71346,0.84729,0.62253,0.59326,1.5708,1.5708,0.74899,1,0.97101,0.63471,-0.058576,0.0095114,1.068,0.42014,0.90615,-0.046651,0.0115,0.023046
1,2,1,1,2,0.85427,0.81509,0.8205,0.8295,0.298,0.291,0.5405,0.5205,0.36805,0.35513,3.1681,4.8222,4.2077,0.2609,0.14833,0.11825,0.60096,0.60096,0.79756,0.75106,0.23129,0.26253,0.91529,0.88404,0.72779,0.73284,0.83959,0.84484,0.71385,0.67895,1.3703,1.5708,0.75105,1,0.98353,0.80088,-0.073757,0.014288,1.1617,0.60441,0.91636,-0.056702,0.0055,0.013406
1,2,1,1,3,0.75372,0.78507,1.634,1.6185,0.4515,0.496,1.195,1.145,0.28292,0.30769,1.5909,3.2882,2.2081,0.88305,0.027051,0.057082,0.30141,0.30141,0.71093,0.73751,0.35852,0.4379,0.8456,0.9348,0.5362,0.60302,0.80461,0.848,0.60259,0.58786,3.1416,2.5232,0.75216,1,0.95368,0.42178,-0.025901,0.0087615,1.1433,0.26248,1.0543,-0.019491,0.053,0.064871
1,2,1,1,3,0.77513,0.75573,1.337,1.311,0.388,0.396,0.9205,0.91,0.28207,0.2976,1.9443,4.0594,2.7334,0.92137,0.044324,0.056367,0.37692,0.37692,0.70751,0.62493,0.33586,0.41463,0.87031,0.92993,0.61635,0.58672,0.82482,0.84674,0.58604,0.56419,2.1603,2.4246,0.73009,1,0.99436,0.60828,0.012894,0.016228,1.1561,0.30257,1.0439,-0.00025238,0.0315,0.04712
1,2,1,1,3,0.74712,0.80403,1.2975,1.2975,0.3795,0.3535,0.889,0.944,0.30236,0.27537,2.0034,4.1017,2.7051,0.97243,0.032748,0.047785,0.38147,0.38147,0.67256,0.68935,0.31374,0.44422,0.86216,0.93423,0.61059,0.6017,0.7707,0.89996,0.6215,0.6307,2.1669,2.3542,0.7752,1,0.9882,0.59569,0.065642,0.014642,1.1598,0.32681,1.0328,0.036395,-0.0185,-0.028516
1,2,1,2,1,0.79424,0.82001,1.331,1.3085,0.4585,0.424,0.8765,0.902,0.33762,0.31694,3.9985,1.9867,4.0799,-0.24606,0.056069,0.052422,0.36821,0.36821,0.72337,0.72281,0.37419,0.353,0.93637,0.85495,0.69647,0.69055,0.84501,0.84744,0.61915,0.60219,2.6347,1.7707,0.77357,1,0.98468,0.73592,-0.089169,0.0076257,1.1677,0.28922,1.0462,-0.060292,0.0045,0.0067618
1,2,1,2,1,0.80293,0.76384,1.462,1.484,0.498,0.457,0.99,1.004,0.32429,0.32673,3.6402,1.7517,3.7078,-0.23855,0.053955,0.10052,0.32552,0.32552,0.7324,0.67956,0.35263,0.38132,0.8976,0.81397,0.64285,0.58153,0.9229,0.81574,0.65664,0.53554,3.1416,3.1416,0.75434,1,0.94849,0.75,-0.05519,0.011375,1.1301,0.33183,1.0135,-0.032078,-0.04,-0.05472
1,2,1,2,1,0.68426,0.75661,1.392,1.349,0.419,0.438,0.949,0.944,0.318,0.30827,3.8232,1.927,3.9562,-0.29371,0.046892,0.060957,0.37202,0.37202,0.69625,0.66517,0.42372,0.33154,0.81493,0.76103,0.59476,0.59488,0.81269,0.83792,0.59422,0.53021,2.9462,2.0579,0.75448,1,0.9291,0.84259,-0.052284,0.0095222,1.1069,0.3142,1.0043,-0.021463,-0.022,-0.031609
1,2,1,2,2,0.61808,0.71353,1.5945,1.623,0.573,0.5485,1.0195,1.0535,0.35416,0.33605,3.3377,2.4647,3.5624,0.47125,0.076047,0.081442,0.30141,0.30141,0.63159,0.64412,0.50053,0.42669,0.7653,0.82097,0.51359,0.53679,0.73599,0.83723,0.5569,0.5646,2.6338,3.1416,0.7555,1,0.97324,0.65888,-0.056543,0.010306,1.1643,0.20584,1.107,-0.016139,-0.013,-0.016306
