grp,pp,S,ID,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,Harmonicity,f,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
1,2,1,1,0.85502,0.443,0.199,0.2405,0.44773,5.8683,7.8551,1,1.0696,0.85027,0.16882,0.86174,0.81753,0.86022,0.85465,1.3335
1,2,1,1,0.84891,0.3545,0.179,0.1785,0.49719,7.3328,10.407,1,1.4361,0.84462,0.1287,0.85123,0.85746,0.81973,0.83591,0.96617
1,2,1,1,0.88395,0.3325,0.1705,0.1665,0.50781,7.8181,10.206,1,1.5259,0.86326,0.14821,0.88033,0.90027,0.8235,0.84133,0.92101
1,2,1,2,0.63605,1.326,0.462,0.8635,0.35282,4.0135,4.1526,0.13983,0.39062,0.60709,0.50264,0.7484,0.53325,0.79153,0.50797,3.1416
1,2,1,2,0.63113,1.365,0.4535,0.921,0.33009,3.899,4.0229,0.087409,0.36439,0.62843,0.43741,0.73417,0.54298,0.76312,0.55369,3.1098
1,2,1,2,0.69618,1.246,0.409,0.849,0.32899,4.2712,4.6568,0.086737,0.39438,0.61273,0.43703,0.82664,0.52953,0.76765,0.57575,2.2124
1,2,2,1,0.78971,0.173,0.092,0.085,0.51481,15.026,13.857,1,2.9297,0.82524,0.12889,0.84216,0.75532,0.66309,0.82502,0.51391
1,2,2,1,0.869,0.2055,0.1055,0.098,0.51405,12.65,17.355,1,2.4414,0.85664,0.12112,0.85672,0.91278,0.81561,0.82589,0.57172
1,2,2,1,0.79913,0.174,0.0895,0.085,0.5141,14.939,20.077,1,2.8076,0.79638,0.13399,0.76527,0.79592,0.81821,0.80137,0.20881
1,2,2,2,0.79001,0.7905,0.223,0.583,0.27991,6.7324,7.0033,0.050915,0.64248,0.61586,0.46202,0.92991,0.62997,0.87019,0.57126,3.1416
1,2,2,2,0.76104,0.7145,0.183,0.5235,0.2659,7.4485,7.2505,0.056589,0.71023,0.64127,0.35821,0.91713,0.56823,0.81159,0.60168,1.5316
1,2,2,2,0.53548,0.6935,0.1915,0.506,0.28264,7.674,7.4166,0.060543,0.71806,0.61681,0.55318,0.68368,0.5395,0.65072,0.55983,1.6834
1,2,3,1,0.80305,0.1895,0.1005,0.101,0.5194,13.718,17.741,1,2.6367,0.80248,0.10565,0.79413,0.89761,0.86976,0.77233,0.49812
1,2,3,1,0.82328,0.159,0.083,0.0775,0.51726,16.349,20.8,1,3.2959,0.81762,0.15118,0.80804,0.78849,0.81659,0.83293,0.51538
1,2,3,1,0.83251,0.1805,0.0955,0.0915,0.5292,14.402,15.764,1,2.6042,0.81529,0.12114,0.88968,0.85283,0.79197,0.81391,0.37115
1,2,3,2,0.67684,0.8295,0.224,0.592,0.261,6.4158,6.3974,0.051094,0.56152,0.61304,0.42527,0.86812,0.5544,0.75747,0.58708,3.1416
1,2,3,2,0.79328,0.749,0.228,0.5235,0.30033,7.1054,7.5071,0.037758,0.65104,0.68343,0.36507,0.91593,0.60179,0.88142,0.66149,2.1706
1,2,3,2,0.82754,0.71,0.197,0.505,0.28046,7.4957,7.6755,0.03294,0.71023,0.66889,0.36966,0.9433,0.61419,0.89402,0.61046,3.1416
1,3,1,1,0.82847,0.5715,0.221,0.3475,0.38946,4.5487,5.9545,1,0.86806,0.80701,0.20766,0.84238,0.82756,0.87334,0.73304,1.1856
1,3,1,1,0.85282,0.389,0.177,0.214,0.45455,6.6824,7.9778,1,1.3021,0.83233,0.15444,0.83619,0.86298,0.86216,0.75474,0.87992
1,3,1,1,0.90603,0.3605,0.1645,0.1945,0.47034,7.2107,9.5576,1,1.3787,0.88914,0.18153,0.87068,0.91884,0.888,0.76875,0.9681
1,3,1,2,0.84674,1.287,0.4675,0.816,0.37589,4.1352,4.2359,0.065868,0.3756,0.77316,0.32826,0.92403,0.72966,0.8992,0.68511,3.1416
1,3,1,2,0.88008,1.07,0.434,0.6145,0.41287,4.9738,5.0139,0.059188,0.47871,0.83318,0.28175,0.8818,0.7888,0.92178,0.76142,3.1416
1,3,1,2,0.82693,1.308,0.478,0.822,0.36761,4.0697,4.3608,0.086222,0.38297,0.77695,0.31399,0.91857,0.75094,0.90509,0.67493,3.1416
1,3,2,1,0.89696,0.3475,0.171,0.1785,0.4795,7.4805,9.3842,1,1.4936,0.8567,0.17335,0.82835,0.86342,0.88723,0.83369,1.3218
1,3,2,1,0.90615,0.3295,0.1585,0.1655,0.49209,7.8893,10.296,1,1.5625,0.91821,0.16455,0.84064,0.93664,0.91683,0.81525,0.86738
1,3,2,1,0.91927,0.333,0.165,0.168,0.49102,7.8062,8.9848,1,1.4974,0.90041,0.1831,0.87096,0.96528,0.9022,0.78448,0.74927
1,3,2,2,0.75112,0.992,0.417,0.571,0.43275,5.3648,5.2342,0.1233,0.49867,0.738,0.27841,0.78967,0.67314,0.81595,0.72799,3.1416
1,3,2,2,0.8422,1.0015,0.3765,0.61,0.38157,5.314,5.3876,0.1084,0.48828,0.81794,0.2675,0.87477,0.72923,0.93045,0.78965,1.378
1,3,2,2,0.8627,0.972,0.358,0.6115,0.38155,5.4752,5.1004,0.063137,0.52235,0.84471,0.25419,0.87751,0.77095,0.94355,0.78096,1.5708
1,3,3,1,0.88612,0.294,0.1485,0.153,0.49465,8.8417,12.584,1,1.7439,0.85947,0.1226,0.84875,0.90479,0.86673,0.8501,0.98839
1,3,3,1,0.80104,0.265,0.138,0.1305,0.52298,9.8094,13.548,1,1.8029,0.79979,0.11443,0.8185,0.8627,0.81195,0.76613,0.9644
1,3,3,1,0.88415,0.263,0.133,0.133,0.50169,9.8839,13.018,1,1.9531,0.8663,0.10566,0.85115,0.87705,0.87033,0.8505,0.79616
1,3,3,2,0.85677,1.0055,0.442,0.563,0.43812,5.2929,5.4619,0.14475,0.49825,0.83837,0.21941,0.86254,0.79955,0.90243,0.80929,3.1172
1,3,3,2,0.78016,1.0915,0.4755,0.582,0.44952,4.8758,4.9994,0.15582,0.47871,0.79358,0.23645,0.81894,0.75879,0.86301,0.7552,3.1416
1,3,3,2,0.87638,1.097,0.5045,0.607,0.4483,4.8514,4.8642,0.1514,0.45211,0.84054,0.23278,0.8732,0.8184,0.90125,0.75708,3.1416
1,6,1,1,0.7243,0.9145,0.3835,0.54,0.41408,2.8425,3.3872,0.21307,0.561,0.74736,0.24856,0.84866,0.69143,0.716,0.73472,1.9009
1,6,1,1,0.76356,0.745,0.2995,0.442,0.41363,3.4895,5.0472,0.28219,0.67817,0.78206,0.18651,0.84996,0.77404,0.78157,0.7427,1.2028
1,6,1,1,0.89965,0.679,0.29,0.389,0.4242,3.8284,5.571,1,0.73242,0.8732,0.18353,0.94088,0.86584,0.87134,0.81802,1.1587
1,6,1,2,0.85945,1.277,0.4855,0.8145,0.36774,4.1675,4.3983,0.10341,0.36058,0.83114,0.2932,0.92121,0.77548,0.9209,0.76605,2.3518
1,6,1,2,0.73681,1.332,0.502,0.853,0.37435,3.9954,4.0987,0.1075,0.36058,0.77919,0.34081,0.85298,0.69715,0.85371,0.70321,1.8001
1,6,1,2,0.74581,1.293,0.4845,0.7745,0.38114,4.116,4.1536,0.11518,0.36227,0.77383,0.2901,0.82388,0.70465,0.87478,0.7392,3.1416
1,6,2,1,0.84467,0.604,0.291,0.315,0.4791,4.3038,6.2651,1,0.80819,0.8452,0.16847,0.8659,0.84962,0.8496,0.82541,1.3168
1,6,2,1,0.81803,0.573,0.272,0.305,0.47643,4.5366,6.6002,1,0.86806,0.82497,0.17609,0.8343,0.81754,0.83744,0.80656,1.1634
1,6,2,1,0.84683,0.566,0.267,0.306,0.46542,4.5927,5.8423,1,0.86806,0.84223,0.19139,0.83568,0.86533,0.82923,0.77592,1.1396
1,6,2,2,0.83987,1.258,0.461,0.7975,0.36356,4.2305,4.5784,0.091794,0.40303,0.78691,0.31442,0.90725,0.71739,0.91888,0.74918,3.1416
1,6,2,2,0.83857,1.175,0.4555,0.707,0.38319,4.5293,5.0563,0.095963,0.42969,0.81476,0.3172,0.9267,0.77488,0.91289,0.75528,2.8452
1,6,2,2,0.85811,1.123,0.4285,0.703,0.38327,4.739,5.2599,0.088539,0.43846,0.81625,0.28858,0.91424,0.77251,0.89902,0.75993,2.4297
1,6,3,1,0.87009,0.594,0.282,0.315,0.47276,4.3762,6.9181,1,0.83705,0.85847,0.18195,0.881,0.86634,0.86562,0.837,1.2867
1,6,3,1,0.87858,0.572,0.262,0.304,0.46043,4.5445,7.2518,1,0.86806,0.86649,0.22341,0.88621,0.82858,0.8768,0.88283,1.2801
1,6,3,1,0.89814,0.5545,0.2695,0.2815,0.48315,4.688,6.9027,1,0.90422,0.87368,0.17352,0.85289,0.83702,0.90191,0.88792,1.3278
1,6,3,2,0.878,1.0935,0.424,0.6805,0.37994,4.8669,5.4154,0.066933,0.46064,0.83522,0.33107,0.92828,0.76843,0.92484,0.8077,2.0387
1,6,3,2,0.86367,1.078,0.4175,0.667,0.38266,4.9369,5.6309,0.059837,0.4695,0.84412,0.32512,0.92729,0.75341,0.91691,0.79678,3.1416
1,6,3,2,0.87579,1.076,0.431,0.634,0.40404,4.946,5.3915,0.070842,0.45711,0.84331,0.30068,0.92848,0.81008,0.89927,0.8,1.5708
1,8,1,1,0.89012,0.348,0.178,0.172,0.50578,7.4697,8.345,1,1.4361,0.88665,0.13258,0.90785,0.81978,0.79331,0.92391,1.0215
1,8,1,1,0.9298,0.2485,0.143,0.117,0.54795,10.461,10.211,1,2.0345,0.89832,0.18237,0.7779,0.89364,0.94017,0.88453,1.0836
1,8,1,1,0.85595,0.241,0.135,0.107,0.5506,10.786,12.723,1,2.0419,0.84735,0.14873,0.76441,0.88318,0.86765,0.85279,0.86832
1,8,1,2,0.77239,1.101,0.339,0.774,0.31225,4.8337,4.9779,0.057031,0.44178,0.75095,0.34432,0.90851,0.69643,0.82664,0.66979,3.1416
1,8,1,2,0.80811,1.108,0.3525,0.725,0.33608,4.8032,5.0536,0.047945,0.46609,0.75405,0.36416,0.93312,0.74935,0.86515,0.64277,3.1416
1,8,1,2,0.7921,1.146,0.386,0.752,0.35568,4.6439,4.8983,0.045525,0.44389,0.75529,0.26593,0.92566,0.73737,0.85619,0.67184,2.8098
1,8,2,1,0.89888,0.193,0.1055,0.093,0.52931,13.469,15.712,1,2.6042,0.87251,0.12672,0.78269,0.88101,0.91832,0.8412,0.68073
1,8,2,1,0.89007,0.1845,0.0995,0.085,0.53837,14.089,16.406,1,2.6855,0.88252,0.095707,0.84338,0.78849,0.90309,0.87376,0.53134
1,8,2,1,0.88676,0.19,0.101,0.089,0.54242,13.681,16.232,1,2.6042,0.8321,0.1281,0.78089,0.88538,0.89174,0.87473,0.57254
1,8,2,2,0.73675,1.139,0.374,0.7625,0.33553,4.6725,4.9,0.081646,0.41853,0.75292,0.32687,0.81023,0.66713,0.87458,0.70235,3.1416
1,8,2,2,0.85611,1.1245,0.368,0.7735,0.33045,4.7328,5.1408,0.048978,0.42614,0.7854,0.36382,0.89786,0.70445,0.95028,0.75354,1.5651
1,8,2,2,0.79026,1.202,0.386,0.805,0.33028,4.4276,4.5798,0.069394,0.41016,0.78514,0.31988,0.87387,0.71424,0.88641,0.69749,2.1831
1,8,3,1,0.92817,0.191,0.102,0.09,0.5102,13.61,14.116,1,2.6042,0.89272,0.13949,0.78827,0.93128,0.90109,0.90766,0.66607
1,8,3,1,0.91897,0.167,0.088,0.0755,0.54051,15.566,18.085,1,3.0518,0.90373,0.13241,0.85827,0.9292,0.90858,0.85267,0.6993
1,8,3,1,0.91774,0.1645,0.082,0.0745,0.52315,15.802,14.831,1,3.0692,0.87669,0.10612,0.8498,0.90229,0.90757,0.87171,0.40574
1,8,3,2,0.77193,1.022,0.342,0.684,0.33438,5.2074,5.2684,0.065349,0.47832,0.77619,0.35416,0.82675,0.6887,0.89368,0.69772,1.5708
1,8,3,2,0.88967,0.9735,0.3385,0.643,0.34996,5.4668,5.4663,0.084702,0.50863,0.86146,0.31073,0.92702,0.79533,0.94667,0.76866,1.5468
1,8,3,2,0.83269,1.02,0.362,0.643,0.35621,5.2176,5.2729,0.058041,0.48828,0.79981,0.2859,0.87109,0.74504,0.89052,0.7368,1.6516
