grp,pp,S,ID,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,Harmonicity,f,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
1,2,1,1,0.90139,0.3385,0.169,0.167,0.49161,7.6794,10.752,1,1.4936,0.90107,0.12761,0.93043,0.88392,0.83911,0.89008,1.1189
1,2,1,1,0.88782,0.3075,0.156,0.1555,0.49753,8.4536,11.493,1,1.6044,0.87035,0.13202,0.89422,0.87448,0.85015,0.87685,0.88795
1,2,1,1,0.89567,0.2925,0.1485,0.145,0.50688,8.8871,11.821,1,1.6741,0.84262,0.1705,0.83937,0.86445,0.81591,0.84563,1.1989
1,2,1,2,0.73127,0.6865,0.287,0.4125,0.41116,5.8267,6.0154,1,0.73242,0.75668,0.21199,0.79823,0.69752,0.81224,0.71946,3.1416
1,2,1,2,0.77435,0.6185,0.264,0.34,0.44274,6.4675,6.6485,0.35026,0.8138,0.77938,0.21216,0.82569,0.75332,0.80083,0.74177,3.1416
1,2,1,2,0.89805,0.592,0.235,0.356,0.40167,6.7568,6.7383,0.4013,0.83705,0.84579,0.21508,0.87297,0.77924,0.92769,0.82065,1.3292
1,2,1,3,0.83088,1.176,0.328,0.8315,0.28268,4.5255,5.0821,0.040403,0.42832,0.6498,0.47806,0.93516,0.5598,0.9246,0.60109,1.8854
1,2,1,3,0.71989,1.058,0.325,0.7315,0.31466,5.0302,5.3252,0.049156,0.47871,0.67103,0.41174,0.81208,0.58107,0.83385,0.59985,1.5708
1,2,1,3,0.87292,0.9975,0.3075,0.6795,0.308,5.3353,5.66,0.041182,0.50863,0.73765,0.37395,0.92346,0.65383,0.92922,0.65593,1.8952
1,2,2,1,0.84059,0.1875,0.0985,0.091,0.52178,13.864,18.696,1,2.6042,0.83413,0.081593,0.84283,0.85029,0.81271,0.83221,0.50305
1,2,2,1,0.93286,0.24,0.127,0.1115,0.53259,10.831,13.528,1,2.1307,0.88545,0.14677,0.84794,0.93886,0.87088,0.88708,0.75184
1,2,2,1,0.69479,0.203,0.109,0.094,0.53867,12.806,17.283,1,2.4957,0.71389,0.15438,0.71215,0.69579,0.69151,0.74896,0.80975
1,2,2,2,0.9107,0.411,0.201,0.207,0.48635,9.7324,10.222,1,1.2336,0.88672,0.17404,0.8737,0.86881,0.89552,0.8955,1.227
1,2,2,2,0.89818,0.3415,0.183,0.162,0.52857,11.713,12.762,1,1.4648,0.88489,0.15177,0.85387,0.88884,0.88653,0.90177,1.1273
1,2,2,2,0.94557,0.33,0.178,0.153,0.53509,12.121,13.35,1,1.4974,0.91965,0.15639,0.88995,0.93937,0.91729,0.94016,0.99038
1,2,2,3,0.77623,0.9605,0.224,0.7445,0.23556,5.5408,5.8447,0.033746,0.51945,0.77121,0.45565,0.90661,0.58359,0.86541,0.54654,2.2103
1,2,2,3,0.72535,0.862,0.221,0.645,0.25304,6.1739,6.6462,0.031888,0.56538,0.71515,0.38418,0.90223,0.6146,0.8122,0.59665,2.9732
1,2,2,3,0.82491,0.7355,0.222,0.5175,0.30204,7.2359,7.5136,0.034143,0.66964,0.71761,0.35322,0.89745,0.65025,0.92868,0.64871,1.7856
1,2,3,1,0.83718,0.203,0.104,0.1045,0.50736,12.805,14.302,1,2.4414,0.81362,0.12331,0.80254,0.86122,0.80418,0.79968,0.70974
1,2,3,1,0.82969,0.144,0.0755,0.0745,0.50008,18.052,20.099,1,3.6272,0.79118,0.14689,0.74913,0.81372,0.85112,0.78503,0.28886
1,2,3,1,0.89879,0.1655,0.087,0.085,0.52296,15.707,20.501,1,3.0518,0.86534,0.15974,0.80541,0.91649,0.90778,0.8593,0.42664
